# Exp data from Driver and Seegmiller
# x means x/H
# cp_orig is the original Cp data, referenced to conditions near x/H=-4
# cp has been shifted for convenience so that Cp=0 near x/H=40 (see Eca et al: AIAA-2009-3647, AIAA-2007-4089, AIAA-2005-4728)
#variables="x","cp","cp_orig"
#zone,t="bottom wall"
     -8.5     -0.1102      0.0039
     -6.5     -0.1141      0.0000
     -4.5     -0.1189     -0.0048
     -2.5     -0.1372     -0.0231
     -0.5     -0.1613     -0.0472
      0.5     -0.1777     -0.0636
      1.0     -0.1806     -0.0665
      2.0     -0.1883     -0.0742
      3.0     -0.1903     -0.0762
      3.5     -0.1806     -0.0665
      4.0     -0.1565     -0.0424
      4.5     -0.1064      0.0077
      5.0     -0.0659      0.0482
      5.5     -0.0359      0.0782
      6.0     -0.0012      0.1129
      6.5      0.0162      0.1303
      7.0      0.0248      0.1389
      8.0      0.0374      0.1515
      9.0      0.0394      0.1535
     11.0      0.0336      0.1477
     13.0      0.0268      0.1409
     15.0      0.0201      0.1342
     17.0      0.0162      0.1303
     19.5      0.0144      0.1285
     21.5      0.0105      0.1246
     23.5      0.0086      0.1227
     25.5      0.0086      0.1227
     27.5      0.0077      0.1218
     29.5      0.0077      0.1218
     31.5      0.0058      0.1199
     33.5      0.0019      0.1160
     35.5      0.0048      0.1189
     37.5      0.0000      0.1141
#zone,t="top wall"
#     -5.0     -0.1054      0.0087
#      3.0     -0.0727      0.0414
#      5.0     -0.0630      0.0511
#      7.0     -0.0543      0.0598
#      9.0     -0.0331      0.0810
#     11.0     -0.0148      0.0993
#     13.0     -0.0023      0.1118
#     15.0     -0.0003      0.1138
#     17.0      0.0065      0.1206
#     19.0      0.0075      0.1216
#     21.0      0.0075      0.1216
#     23.0      0.0066      0.1207
#     25.0      0.0095      0.1236
#     27.0      0.0076      0.1217
#     29.0      0.0067      0.1208
#     31.0      0.0048      0.1189
#     33.0      0.0019      0.1160
#     35.0      0.0038      0.1179
#     37.0     -0.0010      0.1131
